pu_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
132,171503,15.868016827694031,43.52983767047824,81.58370879809038
161,136403,3.2761508911094386,15.564698234887254,24.57953520083851
237,116526,1.8020429775329114,12.056569921448144,20.256593378301734
186,102535,2.877699322182674,17.249086653337923,25.115158726288513
162,102261,2.295421617234318,14.683543090718873,23.845144287655977
138,99492,9.872667651670456,29.909848865570396,66.3764492622514
230,98807,3.9220475269970674,17.89506141602651,28.634607163459847
236,98673,2.0410392913968365,12.229920207824469,20.863053013489008
170,86020,4.228704371076486,14.699187010772691,23.797327481980787
68,81680,2.619677399608205,17.357166789095608,25.555935969637645
142,78979,4.141165752921647,13.07141223194353,22.00966244191493
163,77642,2.5743136446768595,15.788338785708747,25.297646505757157
234,76611,2.0559149469397404,13.803925458920167,22.078598373601835
48,74929,3.3624640659824525,14.759373985150445,24.12151636882921
239,71434,2.770153988296887,13.139336777071621,22.19195327155145
164,67075,3.4151317182258665,15.35720213691141,24.26120089452108
249,66621,2.2893126791852505,14.243943101024165,22.491520541570992
79,63555,3.1124479584611806,13.480036975847646,22.635482652820386
141,62872,2.4313589515205543,12.066279106756602,20.659801183356638
140,55941,2.4855109847875494,13.719213993314371,22.98148370604763
