distancia_bin,distancia_orden,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
0-1,1,744375,0.681591173803472,6.693236227260043,14.403259486142087
1-3,2,1708577,1.7638094449357542,13.416020212531715,20.4909382310568
3-5,3,412218,3.7775280555434714,22.044835418799405,30.618988908780697
5-10,4,306104,7.1965334657501785,27.94843822143245,46.97262828973181
10-20,5,234874,14.811472108449598,44.488481270809004,82.11069054046817
20+,6,33728,152.48283325426945,56.23050235215045,113.58954785340701
