pickup_dow,total_viajes,duracion_promedio_min,duracion_std,tarifa_promedio,tarifa_std,duracion_p25,duracion_p50,duracion_p75,tarifa_p25,tarifa_p50,tarifa_p75
1,532611,17.69170526581941,33.76304010029495,29.793359787911395,24.352781547334455,7.983333333333333,13.216666666666667,21.616666666666667,15.7,21.0,32.0
2,492122,18.612413249830986,31.32104729043202,30.921020722502877,25.22129759405583,8.116666666666667,13.483333333333333,22.316666666666666,16.3,21.73,32.9
3,449968,19.27649684718301,32.334890600570766,29.85718035504635,22.99259665445985,8.65,14.25,23.333333333333332,16.8,22.2,32.37
4,477394,19.400276745553366,31.283043041012895,29.57534862189176,22.6210205173313,8.766666666666667,14.35,23.183333333333334,16.8,22.2,31.92
5,519715,19.87019042488033,32.46355708160183,30.005260671713767,22.970173636527328,8.916666666666666,14.716666666666667,23.916666666666668,16.8,22.4,32.6
6,491603,18.828418798637557,31.50170580537853,29.112605639102394,22.657972233412913,8.583333333333334,14.0,22.483333333333334,16.5,21.8,31.08
7,520281,18.009920472462742,33.13617250266485,27.295727059030742,20.591539321477864,8.416666666666666,13.933333333333334,22.483333333333334,15.95,21.12,30.3
