distancia_bin,distancia_orden,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
0-1,1,636411,0.6773384023845775,6.7927360882616155,14.627009793983966
1-3,2,1442080,1.7656076986020026,13.542364709308888,20.614330744481446
3-5,3,347270,3.7810420422150255,22.080570593486172,30.74150450657969
5-10,4,274494,7.214031344947453,27.87858459565619,47.02284538095566
10-20,5,237486,14.905506471960472,44.31383934210863,81.41767923162685
20+,6,36066,152.904826983863,56.51421190779862,117.95668468917067
