pu_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
237,175706,1.7511140200106936,13.079150209251019,22.80437292978046
161,166402,2.3748267448708473,16.66498189124334,25.40012331582522
236,156033,2.9961001198464503,13.247781879474202,21.342156659167937
132,151522,16.135439804120903,45.446585644328806,83.69097048611344
230,120980,3.1547451644899884,18.630921502176626,29.237918498925055
142,117854,2.274574134098118,14.408134641166168,22.73165314711419
162,117799,2.3100609512814283,15.930178807403566,24.83272319798969
186,116062,2.3245809136496,18.396010609272068,25.990795953886614
163,103004,3.5533362782027993,16.56712085614798,25.434224107801555
138,101699,9.682479375411724,34.77514905095775,69.8340347496028
239,101555,6.943704790507612,13.840415046034211,22.390650681896524
170,95853,3.53623903268547,15.76897662740514,24.45315900389138
234,93347,3.2900665259729798,15.001038419374323,22.952492099371227
68,92200,2.55244186550976,18.47397704266095,26.611814099783054
48,88190,2.662543145481344,15.211665343765354,24.32991869826505
79,82329,3.6340380667808465,14.825866138703665,23.218296226117225
141,81555,2.443812028692291,13.018418245355896,21.089661700692822
249,81029,3.517166199755644,15.538491980237461,23.200976070295884
164,79732,2.431626197762502,16.005297120353173,25.060927983745536
107,69878,3.1330968258965632,14.411738315349586,22.72437262085353
