distancia_bin,distancia_orden,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
0-1,1,766613,0.6803960929438535,7.048420759018369,14.85131149614826
1-3,2,1788540,1.7665039753094351,14.225110816643774,21.258367651829428
3-5,3,430260,3.7788028633849464,23.293557538852504,31.680352623994136
5-10,4,335620,7.223853644002153,30.04443820392127,48.431919075145714
10-20,5,260689,14.77350613182752,48.787555094384615,82.88617245070742
20+,6,34566,225.30550830295647,60.920205789889835,115.60880865589638
