distancia_bin,distancia_orden,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
0-1,1,733496,0.670305918505306,7.386498335823653,15.118350393180924
1-3,2,1693783,1.7693546575919445,14.553415982645614,21.339277174232485
3-5,3,424555,3.785018054197943,23.63495542391432,31.52909778473828
5-10,4,328849,7.206533697837006,30.527629753068037,47.87056731204944
10-20,5,263494,14.869993737997817,48.851835652171616,82.82470409194619
20+,6,39517,222.29820330490682,62.17930932678755,115.4272991370687
