distancia_bin,distancia_orden,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
0-1,1,791638,0.6734772332808175,7.372481214056659,15.011820870140356
1-3,2,1726800,1.7555581190641631,14.500686433480016,21.451441579803184
3-5,3,403810,3.7784729451970156,23.600195388920387,31.539971149797292
5-10,4,313438,7.200653526375239,29.71981508304664,47.71954345037954
10-20,5,239930,14.828991330804861,47.07000152822339,82.54910082107847
20+,6,34233,222.0851245873867,58.381920953465944,114.34173341511817
