distancia_bin,distancia_orden,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
0-1,1,614114,0.6735786352370559,6.740231482536928,14.609087482127274
1-3,2,1369533,1.764864300458581,13.428841291155464,20.487098448888545
3-5,3,337450,3.7815950511187078,21.815280090877643,30.551862794487413
5-10,4,269541,7.239675930563409,27.774237376379574,46.996111278061655
10-20,5,239486,14.852502735024304,44.88759983186224,81.06455450423861
20+,6,37117,129.82014279171278,57.91941877486481,118.71010965324761
