do_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
236,155077,2.1049978397828233,12.61376724680858,21.67577616280906
237,147109,2.3999146211312685,12.472557876585865,20.84199022493479
161,127329,2.8568593957385904,16.20059072690958,25.030828091007937
230,107657,3.60082159079298,20.766394970446235,31.674079065921266
170,100224,6.193499361430403,14.465912855204344,24.04039800846076
142,98467,3.202931438959245,14.303097484436416,23.038612530086052
239,97264,3.2826842408290893,14.415109221637316,24.122327274222446
162,94760,4.647936471084842,14.91684747432105,24.444668319965967
141,89692,3.37599161575168,13.324965994737543,22.383329839896422
68,88872,4.1240716986227355,15.433289825066794,24.652839814564555
163,84069,2.9885918709631314,16.91496251095337,25.973564690908628
48,82001,4.974977744173843,17.733270529221162,26.73627736247099
234,80543,3.363041232633502,13.863472513646938,22.433895310579565
238,78676,3.852072169403632,14.021869862897601,23.99285233107924
186,73295,2.2137384541919594,15.504744525547475,23.640476294426715
164,72901,2.952883362368145,16.904718042276517,27.561385303356456
79,71972,7.261223670316227,15.313635858389405,24.05826585338743
229,71736,8.016859735697555,13.5367825545519,23.060251756440422
263,70243,3.991773130418696,13.515115859706043,23.82730350355207
140,68578,5.3708811863863,14.64631271447595,23.337142378022165
