pickup_dow,total_viajes,duracion_promedio_min,duracion_std,tarifa_promedio,tarifa_std,duracion_p25,duracion_p50,duracion_p75,tarifa_p25,tarifa_p50,tarifa_p75
1,495487,17.1389985004652,36.867125597076374,29.6751781378717,24.321026473482068,7.55,12.533333333333333,20.816666666666666,15.48,21.0,32.28
2,412538,17.47088627795103,32.34168702623978,29.70023294823622,23.970450678374174,7.8,12.7,20.566666666666666,16.1,21.0,31.08
3,478498,18.110936235191595,32.37400526372664,28.63937349790284,21.566777016063476,8.333333333333334,13.533333333333333,21.683333333333334,16.5,21.76,30.8
4,478499,17.846191841571464,33.698464691142625,28.50456046929989,21.635524440401877,8.133333333333333,13.233333333333333,21.333333333333332,16.4,21.48,30.72
5,506631,19.15465940694522,35.82740227624046,29.452220630003772,22.51204286641949,8.566666666666666,14.083333333333334,22.933333333333334,16.8,22.2,31.92
6,470334,18.03808906720197,35.037615039935986,28.533046154434395,22.45721631604323,7.95,13.0,21.133333333333333,16.1,21.2,30.5
7,586085,16.616769609641405,36.049149949183686,26.832245305714427,20.712593702566284,7.683333333333334,12.533333333333333,20.0,15.4,20.4,29.4
