pu_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
237,186173,1.803794750044318,13.523684064463266,21.316830689734807
132,181984,16.26516287146144,45.39428557821963,84.15392347677525
161,172124,4.765248018870116,17.35452880868823,26.245047175291994
236,162971,2.499140460572747,13.365594185468575,21.415116554478715
162,128192,2.387092564278587,16.424572646238982,25.35864929168738
230,122531,3.323279333393191,19.490425144113225,30.43689711175096
142,121332,2.8615504565984167,14.567752255519286,23.087225381597438
186,117704,2.3315481207095847,18.57686300663816,26.13672661931618
138,115363,9.778689007740747,33.671727070204504,69.4545444379914
170,106206,3.0306107941170963,16.07984027895476,24.971559893037934
163,105157,2.5738799128921572,17.36382995584383,26.533973392165883
234,101583,5.245621511473377,15.62325389090694,23.489169644527102
68,100075,4.771967924056963,18.736307269547826,26.721179715213548
239,99286,3.0648030940918187,13.93154489723289,22.423907197389358
48,88284,6.732958180417736,15.741427665262085,24.905348987358796
249,83647,3.5886576924456453,15.445099246436381,23.51884861381762
164,83222,4.014937997164216,16.539248035375223,25.722957150753505
141,81999,2.0023068574006992,13.350365451611154,21.458566567885043
79,81393,4.692396152003247,15.174510502541192,23.553485557726155
107,72659,2.2144079879987295,14.698033278740413,22.95179661156919
