do_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
236,137705,2.5405580044297467,12.147421420185726,21.325334664681428
237,126063,2.3062429102908806,11.973131952542266,20.29563821263946
161,110019,2.3588090238958777,14.657489463941143,23.465559857842404
170,87054,2.183913547912797,13.336180033848722,22.83398178142288
239,85722,2.5013583444156606,13.507267679242219,23.59381815636577
230,85454,4.131994289325263,18.822182499746447,29.855458375265346
142,83481,3.0528368131670636,13.31410320911345,22.298760316718784
162,81499,2.2508581700388985,13.674083731088746,23.215383747039755
141,80774,2.174561863966122,12.795863561707161,21.977898952633332
68,74703,2.7209713130664093,14.455376847873138,23.831865922385948
163,72767,4.792656286503499,15.166556955762864,24.442198524056167
234,71661,2.010184479703047,12.829483959196736,21.5968985919818
48,69574,2.65300284589071,15.813347898161133,25.16623609394309
238,68547,2.633591842093742,13.310035936413492,23.71428756911318
263,62977,3.4008479286088473,12.880153071756364,23.348367658033986
79,62718,2.4011094103766206,14.254383377446132,23.378198762715765
229,62690,3.6203750199393814,13.12711065028976,22.564432764396376
186,62607,2.5671958407206876,14.177565607679732,22.67613908987828
140,60904,7.677262248785002,14.393164378913294,22.933894982267347
164,60672,2.740020932225741,15.411526459212455,26.1152684928798
