pickup_dow,total_viajes,duracion_promedio_min,duracion_std,tarifa_promedio,tarifa_std,duracion_p25,duracion_p50,duracion_p75,tarifa_p25,tarifa_p50,tarifa_p75
1,505264,17.748483795929694,36.01249651165374,29.713358363151162,23.95652875373608,7.7,13.216666666666667,22.066666666666666,15.48,21.0,32.5
2,500124,19.380545058158994,34.47441673752201,30.422294131054727,24.357650837605178,8.183333333333334,13.883333333333333,23.233333333333334,16.32,21.88,32.76
3,542789,18.292392347671218,32.86608927710881,28.718424470650238,22.003146913736146,7.983333333333333,13.466666666666667,22.25,16.1,21.5,31.44
4,453781,19.431783283125462,31.51144763969122,29.773659760984135,22.636739555583514,8.516666666666667,14.45,24.066666666666666,16.8,22.65,33.2
5,502953,20.10848465628647,33.67159526558408,30.363522337076386,23.002894108089198,8.633333333333333,14.683333333333334,24.533333333333335,16.8,22.75,33.6
6,507426,19.186949755563706,33.58301447097303,29.368580285596966,22.310605899543493,8.4,14.15,23.366666666666667,16.56,22.2,32.2
7,506306,18.103606810901052,36.28899514636659,27.449912582508087,20.62545167386728,8.033333333333333,13.666666666666666,22.716666666666665,15.7,21.18,31.08
