pu_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
237,161781,1.7993575883447366,12.467358136410773,20.549658798004305
161,159907,2.7868284690476313,15.725555791803957,24.869157822984366
236,149165,2.888348942446284,12.629556419624809,21.039184728320723
132,149027,16.11889469693415,43.25503398712985,82.73892093376635
162,116672,4.661217601481072,15.023718058602975,24.236907569939596
142,114481,2.9521623675544455,13.397908823298147,21.99211537285645
230,113555,4.220844260490515,17.50416083248941,28.367314869446215
186,109017,2.916803984699639,17.78649476687116,25.448427217773208
138,108962,9.73616673702759,30.5915153906868,67.90741542923205
239,98761,2.255481009710308,13.341683458045173,21.98503467968122
163,98108,2.4938445386716617,15.280791916391431,24.719886961307832
170,97298,3.233278176324289,15.25720124428735,24.31717558428717
234,90986,2.103766183808494,14.785913766953172,22.90387839887451
68,90361,2.92768096855944,17.870488743300083,25.964568342536996
48,86618,3.5007347202659997,14.540769239649947,23.850064998037237
79,81733,5.022063303683949,14.361227207288811,22.89652111142378
249,80210,3.128046004238875,15.315391472384993,23.189206582720303
141,77825,2.662476710568581,12.461716243709153,20.83612592354652
164,76585,2.5001398446170926,15.551951426519553,24.901112358816977
238,70551,3.5160187665660305,12.88959405252938,21.6392983798955
