pickup_dow,total_viajes,duracion_promedio_min,duracion_std,tarifa_promedio,tarifa_std,duracion_p25,duracion_p50,duracion_p75,tarifa_p25,tarifa_p50,tarifa_p75
1,450979,16.813177590678627,37.24589607520029,28.558761361391813,23.06341010447958,7.733333333333333,12.783333333333333,20.466666666666665,15.45,20.6,30.6
2,403221,17.967220043929643,31.956583546238843,29.567442097508945,23.704327775573983,8.1,13.25,21.55,16.02,21.26,31.08
3,447483,18.18149073074651,31.370817452244687,28.427386090643992,21.88835033600653,8.316666666666666,13.55,21.75,16.17,21.36,30.3
4,471328,18.841032713241447,32.42546041424599,29.06888249796257,22.218386173265127,8.6,14.15,22.783333333333335,16.7,22.0,31.5
5,482976,18.933183705470654,33.810299009059364,28.99363152620308,22.251275107521316,8.4,13.916666666666666,22.616666666666667,16.4,21.84,31.44
6,614921,17.939186524231047,32.62684494213793,29.068365578667496,428.50135141641255,8.2,13.416666666666666,21.433333333333334,16.32,21.36,30.4
7,638941,17.207706345343336,32.48282055066177,26.979760916891454,20.093285687153703,8.116666666666667,13.4,21.566666666666666,15.68,21.0,29.9
