pickup_hour,total_viajes,mae,rmse,pred_promedio,real_promedio
0,82371,11.032083956028089,56.51890072398859,17.770421110751215,16.2616566105384
1,53126,10.63780682720996,53.45533384139994,14.716131715336136,14.902183174591231
2,34578,11.297999425433387,57.56179460978458,13.047896743385555,14.123740046657788
3,21901,12.928330626782556,62.40041861187784,14.196812308201013,13.703519626196654
4,16241,17.595654291565577,83.8532560268168,22.767393934792125,15.172935779816514
5,18766,17.584976300698663,92.63918293665277,28.99454055219094,17.454229279903373
6,43268,14.230195927617336,89.97380535940303,23.295508475301265,18.586540476410566
7,78556,8.680987574178843,57.603575126798546,19.929294691806515,15.850766332298003
8,117697,7.267568946559134,49.63104294272242,19.613569245308987,16.88736982817455
9,127627,7.0412001384788265,48.94777586523283,18.92231644523967,17.15894781929635
10,136804,7.410911455124057,50.94585219136523,18.7320634514858,17.209162621950718
11,149139,7.941686048030361,53.85733131252499,19.40164240021462,17.62951508324454
12,164278,8.693206105266945,56.05639676035613,20.186564672487847,17.945641027201873
13,174070,9.255550595770957,58.89568213420807,21.32233293768848,18.189441603952435
14,182696,10.268528574782305,63.42745037602239,22.480225024253134,19.157439589992848
15,182386,10.586357595427298,67.05085020692965,23.060166341910744,19.73335700108545
16,184817,10.426648552093011,65.09582492358095,23.182996689307057,19.8736558325263
17,199808,9.343861724073474,61.28364575053049,21.741995747287916,18.83687631793171
18,207310,8.418586053762388,57.36099385599485,19.854639297199558,16.830695415882843
19,181306,7.982568994271559,54.94643452733694,18.735219758064076,15.758023727841252
20,163977,8.513969699113572,60.818096041187026,19.266021517200357,15.786053531897787
21,174432,8.480765681359662,53.798206965325,19.559377640511865,15.991458276004364
22,159209,9.605596055324042,57.49328801148104,21.068185698229687,16.51637784296108
23,119444,10.919820311589847,61.33291634149209,22.727864401048375,16.968478394338096
