pu_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
161,140142,2.599659845014347,14.621085161241185,23.95643654293478
237,140118,1.7157517949157115,11.63227886495667,19.783675402160675
132,138446,15.944703133351643,38.0975950912267,80.88268458458782
236,133962,1.8709141398307028,11.89379164738263,20.25994543228644
162,104342,2.258537980870594,14.055753355951339,23.330695788847986
230,102958,2.9710039045047494,16.05607221715,26.869172575224564
186,102152,2.302774492912517,15.940047510898815,24.1067784282245
142,101794,2.1177634241703776,12.964309455043152,21.332613218853584
138,87696,9.711895525451585,27.57067711184099,66.37558737000433
239,86466,2.2933337959429014,12.169400496534326,21.217163625008684
163,83677,2.5401333699822044,14.09443654369386,23.560845393596676
170,80955,2.22874448767835,13.73315195684848,23.04369390402076
68,75545,2.4768434707789995,16.04543208242324,24.73583268250697
234,74373,2.010171164266604,13.493783362241665,21.784454439111077
48,74074,2.42160312660313,13.4744559494559,22.949783594783753
141,72163,2.7342994332275516,11.630822582209717,20.306560702853385
249,64280,2.232581829495955,14.185143901680199,22.502455507156323
140,64195,2.304864864864879,13.732679596022537,22.451437339356765
79,63600,2.8350800314465476,13.468699685534588,22.271223113207707
164,63075,2.3369537851763744,14.064823886907117,23.501488386841213
