pickup_dow,total_viajes,duracion_promedio_min,duracion_std,tarifa_promedio,tarifa_std,duracion_p25,duracion_p50,duracion_p75,tarifa_p25,tarifa_p50,tarifa_p75
1,323887,16.84425962346957,32.34720171149042,30.239092986132764,25.78231190078763,7.466666666666667,12.5,20.683333333333334,15.4,20.82,32.54
2,332209,17.58114520276879,34.76710081160006,30.5801437047136,25.919825891217425,7.6,12.5,20.766666666666666,15.96,21.0,32.1
3,384699,17.500235422152418,35.756849558311316,28.807723414928372,22.777633451182652,7.933333333333334,12.95,20.766666666666666,16.25,21.35,30.62
4,394466,17.7941443200006,34.100048324767236,29.04362170630586,23.232858416968927,8.05,13.1,21.116666666666667,16.25,21.36,30.72
5,505559,18.445527656844675,36.209965248263764,29.39466283856067,23.24572086587594,8.2,13.45,21.816666666666666,16.32,21.5,31.3
6,460299,17.49613570020066,35.9338370230451,29.15929952052815,24.025556522754233,7.716666666666667,12.65,20.583333333333332,15.96,21.0,30.7
7,466122,16.844527684454672,35.05365610399532,28.000592162565336,22.939447938822102,7.716666666666667,12.75,20.566666666666666,15.4,20.52,30.24
