pickup_dow,total_viajes,duracion_promedio_min,duracion_std,tarifa_promedio,tarifa_std,duracion_p25,duracion_p50,duracion_p75,tarifa_p25,tarifa_p50,tarifa_p75
1,409248,16.240459574634368,36.450536524164164,28.714849357844958,23.550980637192986,7.433333333333334,12.183333333333334,19.633333333333333,15.3,20.3,30.59
2,465616,16.77484218039466,37.164598036678505,29.455406085699575,24.047077015199196,7.566666666666666,12.233333333333333,19.8,15.96,20.7,30.5
3,559453,17.40450186759821,31.408829791082542,28.277386643738733,21.43645422697488,8.116666666666667,13.166666666666666,20.933333333333334,16.32,21.36,30.24
4,483132,17.386104142691174,33.91805160266029,28.083202934187387,20.898610299529345,8.133333333333333,13.216666666666667,21.033333333333335,16.35,21.48,30.55
5,522421,18.298101435432226,34.32505699887429,28.58297034384074,21.461128676238427,8.416666666666666,13.716666666666667,21.816666666666666,16.45,21.76,30.72
6,476643,17.533973190277266,34.766730100575444,28.118031629541882,21.73366701989259,7.983333333333333,13.016666666666667,20.833333333333332,16.1,21.0,29.9
7,497567,16.43307514364898,36.129816441483584,26.262546008878225,19.9665176561196,7.75,12.666666666666666,20.1,15.45,20.36,28.92
