do_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
236,145516,2.5068968360867467,12.745826232166918,21.894264548227945
237,139896,1.8204076599759726,12.501277615752644,20.830546834791303
161,127309,2.7383097031631665,16.420177416103126,24.972750473257573
230,111355,4.383215122805423,21.898727792495457,32.094664900542085
170,104167,4.161283323893357,14.936038764675951,24.31119692416952
162,101971,5.009943219150564,14.787963081006703,24.380637926469046
142,93069,2.3478339726439557,14.552622964323923,23.22500424416292
239,92214,3.3160666493157276,14.451621951836684,24.38800691868898
68,91147,2.5864234697795885,16.225890777169443,25.164494497898787
141,86121,3.9174672844021736,13.184744139060172,22.607596056711
48,84578,2.9905929437915275,18.77054080257273,27.73344936035345
163,84200,3.51595059382422,17.195915479018154,26.120335510688697
234,81737,3.313267186219217,13.90434890767547,22.570541125806027
186,75470,4.994431959719102,16.04509275208688,24.17027375115937
164,74810,5.274498195428411,17.466678697143795,27.93795949739319
79,73261,5.189603882010878,15.204825213961097,24.263247430419945
238,72259,5.599450864252205,14.41909519921392,24.61702237783536
246,71446,4.904297231475517,15.789768029933995,23.724977325532628
229,70364,3.573171081803189,13.795008100733346,23.10367986470369
263,68946,4.181641864647697,13.590990050184201,24.084317436834667
