pu_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
132,171126,15.900450837394795,42.85720930776168,81.87919538818774
161,151969,2.347734274753398,15.771756739861434,24.66931137271406
237,125649,2.343985706213341,11.916245519927275,20.200353763260857
162,110708,5.1118464790259255,15.234567962568212,24.094944719442022
236,107497,2.587895941282079,12.206593207252306,20.8436432644629
230,104604,3.2010202286719296,17.818148764228347,28.627098390118576
186,103596,2.348054558091048,17.18976569236907,25.04084057299499
138,99721,9.71542613892762,29.678715449437274,66.8345997332553
170,92485,3.2160290857976905,14.831963201239859,23.774178731686167
142,86702,4.828999215704377,13.2543078591036,21.99814479481435
163,85601,2.4590967395240737,15.274422806587094,24.70172930222772
68,84491,2.9292166029517817,17.354340896269047,25.623849049011092
234,79763,2.0431426852049173,13.906587014029068,22.218560861552415
48,77023,4.3002117549303405,14.5855755207319,23.863482855770354
239,75008,7.079028636945371,12.848805460750858,21.945160249573416
164,70414,4.427327378078214,14.965625680499146,24.177505183628288
249,65723,3.9282362338907157,14.390536798381133,22.819682455152826
141,63567,1.9842393065584312,12.023643557191642,20.6654282882629
79,62156,3.4355425059527636,14.181369457494057,22.959054636720623
140,57907,2.9295908957466237,14.271255921851726,22.91551643151966
