do_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
236,162277,3.506572650468049,13.061219293758974,21.820952692001743
237,158281,2.88866193668223,13.011570245323192,20.95164056330163
161,133795,3.7913295713591744,17.595125752083387,25.682228782839015
230,111138,5.643520578020105,22.676822358989053,32.27069472187637
162,100882,4.153626910648081,15.637876760307437,24.770901746594944
142,100876,2.2124405210357305,15.105485282260783,23.459321840675546
170,100515,3.199307367059636,15.56732560646005,24.665873650698774
239,99792,4.273331429373107,14.873057960557952,27.57262576158381
68,92215,6.318074282925783,16.343530878924245,24.929855012741832
141,92151,2.243083091881799,13.8793816670465,22.821382513483282
163,90939,2.871821660673638,17.902694113636635,26.305435951571784
48,83918,5.045356776853586,19.13371704123865,27.59555041826521
234,82683,2.098231317199414,14.477878765888997,22.7565227434903
238,78201,2.6821561105356637,14.545250700118842,24.3606701960333
186,77156,2.6649664316449835,16.308416282164227,24.126239048162237
164,76557,2.876895123894615,18.106269838159722,28.111147119139755
229,72632,2.2682151117964477,14.367076265741389,23.39643738297182
263,72628,5.045259404086591,13.798427603679025,23.94930426281883
79,71340,2.5248682366134036,15.403381459676693,24.159627838519757
140,69663,15.543574781447838,15.443704453344436,23.612951782151285
