pickup_dow,total_viajes,duracion_promedio_min,duracion_std,tarifa_promedio,tarifa_std,duracion_p25,duracion_p50,duracion_p75,tarifa_p25,tarifa_p50,tarifa_p75
1,432862,17.847775927046733,33.73063343808472,30.218956503457555,24.494625579858695,8.15,13.583333333333334,22.1,15.95,21.36,32.76
2,405901,18.52968843798521,32.64461639252997,30.85028723752767,25.233705301963685,8.2,13.65,22.433333333333334,16.16,21.7,32.76
3,594857,18.744183588100505,31.436308688963347,29.428639051065304,22.25034236217374,8.733333333333333,14.216666666666667,22.716666666666665,16.8,22.2,31.59
4,614497,18.94206513620068,33.834140542968335,29.512540712159005,22.47562431772131,8.833333333333334,14.4,23.016666666666666,16.8,22.25,31.86
5,629033,18.809565396410083,32.38059446343688,29.51378606527727,22.486496333056724,8.683333333333334,14.216666666666667,22.916666666666668,16.8,22.1,31.85
6,485907,18.340391988590458,33.395419426576574,29.26883376860122,22.94856420739104,8.4,13.733333333333333,22.116666666666667,16.4,21.6,31.08
7,518656,17.56524025558366,32.983192869703764,27.326080137894266,20.72221490915529,8.266666666666667,13.616666666666667,21.9,15.77,21.0,30.2
