pickup_dow,total_viajes,duracion_promedio_min,duracion_std,tarifa_promedio,tarifa_std,duracion_p25,duracion_p50,duracion_p75,tarifa_p25,tarifa_p50,tarifa_p75
1,419122,16.67194492295801,34.461808056405275,28.780969407473673,23.43312139286616,7.5,12.383333333333333,20.116666666666667,15.4,20.52,30.9
2,381995,17.849288777776238,33.27081272670458,30.351709943845144,24.459327495453007,7.916666666666667,13.033333333333333,21.316666666666666,16.1,21.45,32.28
3,464752,18.888236055645304,33.46456319885543,29.51503309291804,22.242457863957522,8.55,14.083333333333334,22.7,16.8,22.25,31.92
4,622886,18.893575978054933,32.211228191785374,29.300599660291272,21.814158186630678,8.533333333333333,14.066666666666666,22.833333333333332,16.8,22.3,32.02
5,641641,19.020911122159085,33.9021496101393,29.51396402349575,22.30470984434079,8.633333333333333,14.133333333333333,22.75,16.8,22.3,31.92
6,607969,18.46820594471091,35.530734609507,28.881591413377095,22.614493236868356,8.116666666666667,13.25,21.5,16.32,21.36,30.72
7,477923,16.718252382357274,35.48417922039303,26.728743981770727,20.09726014698958,7.8,12.733333333333333,20.466666666666665,15.48,20.52,29.4
