do_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
161,121194,2.940714639338578,15.806538965075204,24.270316517319063
236,112687,3.2537358346570433,12.425261713122785,22.10173870987749
237,111930,1.8569949968730448,12.351168885315255,20.692700705797968
230,103521,6.822103727746052,20.934104513415786,31.3887434433582
170,93541,2.756525373900212,14.431428820873565,23.94851231010972
162,93398,3.863329193344627,14.350490196078468,23.66898102743079
68,79723,2.61527388582968,15.39313957912604,24.815897419816014
142,76779,4.139206553875404,14.058280910144708,23.27314890790449
163,76686,3.450717732050178,16.485652313764366,25.83550804579708
48,75966,3.287344338256588,17.653903061896134,27.213095990311032
239,75272,4.081995031352954,14.191915541857156,24.697663141672795
141,73677,3.1463382059530245,13.049312313657339,22.74366627305683
234,72359,2.1447638856258435,13.514097071546065,22.415689686148433
186,69146,3.6522877679113774,15.177859408594367,23.493686402684215
164,68681,6.411667273336137,16.723677096528366,27.42037302893066
229,61158,3.5001290101049767,13.405068838091497,23.054297557147223
140,59906,3.460739658798782,14.721328970943384,23.27813941842233
79,59472,5.456236884584338,14.908859351179244,24.586624798224513
246,58204,2.305326266235995,14.665317389411896,23.05895900625402
263,57443,2.8760943892206234,13.428699464396598,24.660147798687625
