payment_type,total_viajes,duracion_promedio_min,tarifa_promedio
1,2696983,17.999795981905056,29.540028313147612
2,425756,17.650302794714996,24.450913034694757
0,335914,18.197023394877107,25.404177289423075
4,36836,16.81308638288633,27.83868742534502
3,14360,15.438846332404825,48.8618168523679
