do_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
236,150669,3.3983760428489,13.719495273303231,22.489025479693563
237,146551,2.2042356585761804,13.972889187609292,21.803370499006906
161,119737,2.3993632711693054,17.79331729818969,26.05293192580373
230,103986,4.163090319850745,22.93394639663036,33.051589829399184
170,101872,3.1684154625412253,16.327534553164796,25.476503455316163
68,94002,3.300153720133611,16.939709084203862,25.541602944617985
162,93013,5.829950222012001,16.72035217299377,25.52811940266388
239,92369,2.7755593326765373,15.348824641744876,25.011616343145107
142,92338,5.478719487101717,15.52091915932042,24.146154129394073
141,87389,6.367963702525492,14.6326400729306,23.561001041321013
234,85681,2.1867591414665988,14.764073131732872,23.311638753049213
48,82198,3.077844594758996,19.364192964954533,28.34100866201104
163,80682,4.961010138568714,18.800522421357847,27.41437371408731
186,76992,2.249172511429753,16.33813902743136,24.436148950540357
164,75969,6.146685095236209,18.808341121597806,29.119054614381923
79,74862,7.101736662124964,16.067459013473698,24.775614998263546
238,74377,4.568396950670223,15.310364315133263,25.222990037242663
246,73582,10.371958223478543,15.981114720085575,23.949420238645413
263,69376,6.264065238699282,14.684180408210386,24.82713560885618
107,67706,4.497827075886924,14.688039710906963,23.95240451363257
