do_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
236,146525,2.174995461525337,12.27353455041801,21.70560027299061
237,136748,1.8364716851434715,12.187270746190093,20.578488387398377
161,126495,5.080913316731886,15.618107962106505,24.234921538400176
230,107338,3.4303278428888233,20.128074400491958,30.75113668970818
170,103249,3.6958670786157737,14.197357520815363,23.473564973994602
239,98664,2.9154919727560245,13.859322887105067,23.946082157625604
162,98045,3.1221379978581214,14.204074319615163,23.90887194655486
142,96043,3.6786817363056095,13.650103599429483,22.688502545734636
141,91391,2.785812607368338,12.69253956443559,22.154804411812894
68,89761,3.0948370673232164,15.096580549087767,24.25849622887431
48,86006,3.505766109341208,17.072965452022665,26.251083877868787
163,84424,3.9642463043684217,16.312812115038376,25.504727328721486
234,82208,3.918813010899183,13.374467407875958,22.09989112981715
79,78408,3.2908210896847248,14.49640194027819,23.657687480869384
238,76279,2.8106647963397537,13.821773576825429,24.269036956436164
186,75366,2.4642362603826755,14.82838149828836,23.294673460181073
164,75011,3.888381970644299,16.448022290064124,27.132219007878664
229,72689,3.0628353671119477,13.0713757698322,22.795281129194287
263,72218,3.5720817524716777,13.111369741615672,23.600777645462394
107,69968,2.8566656185684884,13.221346663236513,22.705511090784455
