pu_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
161,158876,2.4074707948337135,16.227807850147375,25.22135325662768
237,156083,3.1523382431142375,12.478278437327113,20.62590230838695
132,152128,16.007036508729602,47.61551872984174,83.13121516089653
236,140311,2.912533087213405,12.595001342256303,21.182152290269308
162,117794,2.3514802961101635,15.912640287281112,24.761753739579174
230,113133,3.2446527538383982,18.43149891425722,29.19667303085702
138,112976,9.764046169097888,33.49542469197002,69.18127177453638
186,108592,2.4026710070723585,17.85415669048675,25.91616555547372
142,104714,2.6324775101705624,13.664380757746445,22.40407433580977
170,100974,2.3315515875373833,15.454152224004845,24.37170519143532
163,97391,3.5514650224353397,15.884808829015634,25.28793368997124
68,94506,3.206782214885829,18.13376963720113,26.371884007364702
239,94498,3.6075593134246255,13.390206847411205,22.303477957205445
234,93475,2.751047124899711,14.66073103325313,22.83773779085308
48,87290,3.204631229235882,15.183401305991504,24.531780501775597
79,82092,6.131288432490377,14.548985081778177,23.30253995517228
249,81651,3.015910154192849,14.896433397427291,23.17978861250928
164,77813,2.4558997853829068,15.44642861732616,24.92594643568548
141,74690,2.0165917793546586,12.687703842549224,21.05937501673589
107,69452,2.205985140816678,13.927497168308077,22.514722830156135
