do_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
236,168921,2.102828955547253,13.286595213147008,22.129679139952742
237,161830,3.395555644812462,13.372992234649582,21.30373564851969
161,138312,2.8209704870148706,17.089587068849212,25.681337989472606
230,115110,4.235719659456178,22.171212173862777,32.821677178349994
170,105610,3.095603636019314,15.27849430293854,24.63400198844781
162,104050,6.232918500720816,15.656800096107657,24.98918990869752
142,104021,4.1006232395381526,14.964236708613317,23.541552378846394
239,100704,5.262948045757873,15.054133400857971,24.624283543851153
141,92909,4.798619078883632,13.882981555428792,22.9757315222421
68,92648,3.4034775710214915,16.570603251014546,25.431892755375056
163,89575,4.277957019257617,18.02922950972184,26.69995590287457
234,84276,3.508005837960975,14.473923378739645,23.03759979116241
48,83940,3.693847986657126,19.131805853387338,27.992044674767445
238,81481,4.553084768228178,14.606867040577962,24.72361458499519
164,77855,4.280736882666481,17.96704686061696,28.556112516858107
186,77641,2.214739377390813,16.299552856523395,24.413649489316263
229,74586,2.3255990400343283,14.333506288043315,23.639147829351405
246,74344,7.277437049391985,15.82177153951002,24.054197648767886
263,72565,3.2901525528836264,14.027119823606405,24.336046992351704
140,72506,7.507184095109363,15.859213260511815,23.844570656221475
