do_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
161,109254,2.9110155234591066,15.365473422788506,24.138696340637072
237,104190,3.0023423553124173,12.119255046869506,20.649908148574546
236,102652,2.8749619101430066,12.465245197365835,22.009110879476136
230,99047,5.534315224085531,20.884799472304493,31.21794592466109
170,89862,2.342319000244823,14.139943283404905,23.6977748102644
162,86115,2.3565871218718963,13.967881127949056,23.54600522557034
68,76484,3.461205088645975,15.600342773216259,24.84041786517435
48,73548,2.907381981835004,17.699722403509753,26.88701609833007
141,71748,2.376154875397222,13.044200999795619,22.630059792607483
239,71739,2.834396771630507,14.33429283002734,24.837513207599603
142,70806,2.461532497245995,14.140385466391812,23.45157444284386
163,70520,2.8826461996596704,16.777766591038016,26.26117923993187
234,68437,2.1496290018557227,13.393144059499969,22.289501877639374
186,68211,4.214011229860282,15.383737715813227,23.751883420562677
164,66437,3.823156373707413,16.849224076945053,27.358952240468252
79,59488,4.050207436793965,14.639288596019377,24.57141927783766
229,58522,2.355673934588703,13.059272581251538,22.918302518711013
140,58080,2.4669232093663904,14.528880853994501,23.16212723829207
246,56733,3.0159906932473093,14.557279126199289,22.836971956356994
263,55230,2.8610974108274556,13.291456635886291,24.498993481803506
