distancia_bin,distancia_orden,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
0-1,1,721505,0.6821466240704631,6.844076040129139,14.569955675978806
1-3,2,1696935,1.7673301570183706,13.748686828507383,20.73182579769105
3-5,3,413064,3.778191611953591,22.241779199672123,30.807681690972405
5-10,4,312839,7.188847458277295,27.970153124557104,46.856004813978004
10-20,5,236976,14.806982690230285,44.91520252402516,81.98022512828958
20+,6,32761,216.21541619608692,56.07849221126743,114.52692286559396
