pu_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
237,179902,2.9496258518526783,13.155340314912145,21.155681148625266
161,170703,2.4493638658957333,16.76314202640451,25.806368722283402
236,165217,4.347177893316045,13.440504205580174,21.667279396187844
132,157877,15.960380042691524,47.54973354784627,83.09939389522623
138,124126,9.786090182556459,34.15167356825587,69.50081489776525
162,122726,2.370862653390477,16.03785152833684,25.07351262161225
142,122308,3.465440363672051,14.164948327174,22.727090214867292
230,117950,3.6712240779991414,18.712092270736242,29.77014811360695
186,111732,2.3592233200873527,18.068387600090702,25.850658808577485
163,104563,3.480053651865384,16.345668161778125,25.542920057764228
170,103189,2.3806480341896887,15.949634489464307,24.930585430617516
239,101820,4.285383028874474,13.494816506252926,22.510806815949703
68,95911,2.6258446893474194,18.345963271505237,26.546314916954262
234,94981,2.712428801549787,15.408780878982753,23.45155662711479
48,87898,3.211786388768806,15.369854642123059,24.54990898541484
164,81501,2.5334446203114083,16.511067348866902,25.736445933178754
249,81295,2.294556245771572,15.339324066670796,23.38108862783685
141,81010,2.0222655227749744,13.11476648973377,21.500060239476632
79,79450,3.144896790434225,14.707693098384777,23.461347514159897
238,73505,3.7532475341813507,13.689105049543103,22.287525474457563
