pu_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
161,143357,2.3466565985616397,15.108824821948009,24.366175980244847
237,137982,1.7532623095766133,11.97692802925977,20.157194923975233
236,131036,1.914990155377151,12.109205231132446,20.63811731127306
132,120704,15.908802608032957,40.64562635317253,81.6022814488117
162,103267,2.3851739665139826,14.455158149909144,23.729110073885987
230,98589,3.3501465680755547,16.27004973509552,27.202842812078288
186,97877,2.284199352248225,16.993975942594584,24.56291478079619
142,94765,2.661937846251251,13.03585272340352,21.594888091594893
239,88380,5.7195095044127555,12.418345025269682,21.56926114505536
163,86844,2.9446347473630876,14.416149455729053,23.937256690157028
138,85671,9.687907810110776,28.792254088314543,66.82530938123669
170,83146,2.2591440357924584,14.337854897810326,23.484596252375386
234,82106,2.0337948505590364,14.206774778944235,22.2744220885197
68,77945,2.5068464943229216,16.670721662710832,24.968648919109647
48,74189,3.1654141449540996,13.800537815579183,23.2067865856124
79,72398,2.359606342716658,13.663815528974114,22.453457554076227
249,71670,2.2224474675596517,14.183606343890972,22.56219813031958
141,70263,2.7228016167826525,12.251652126059732,20.56697251754143
164,65533,2.3536052065371655,14.89288551823758,23.930914501091195
140,60775,2.3676228712464,14.07962402303581,22.78811452077347
