pickup_hour,total_viajes,mae,rmse,pred_promedio,real_promedio
0,77586,5.027258559523145,48.00764587368215,15.562099250233636,14.790131381091124
1,52860,4.483880376197782,45.262111406603445,14.221048096292257,13.336454786227705
2,35838,4.257934427415844,42.9236162177237,13.725423423600093,12.789950611083214
3,23127,4.757032119364115,45.367269140624266,14.2641054377217,13.27730142257968
4,15581,6.775043297148538,46.28223722440376,18.835619431559866,15.739780287957554
5,16621,6.230713962816703,31.877039622503478,20.672286802246695,16.679644225176975
6,38749,4.796347837707074,27.729941096336876,17.47386364137682,16.044422651767295
7,81722,4.054386839535209,27.844602212214095,16.07526413127118,15.342799164647673
8,115508,3.3052534159546054,26.43800702133511,16.049459029515216,15.409334706975525
9,125433,3.230130940982555,28.61560110662104,16.132581478370764,15.618744801341457
10,132458,3.1304821505883136,29.106778688984466,16.31713022322224,16.025343630937147
11,141011,3.092450487219674,30.081109111625928,16.394999984069344,16.24613020733611
12,153213,3.3955394232462464,33.951344094239175,17.168933212407527,16.71681069273934
13,157869,3.556571511834353,33.837889619337695,17.6132220938526,17.389551674700737
14,169116,3.787197284811722,34.227873923933444,18.826120615701132,18.339478425065362
15,174348,3.761619523368811,35.6157374520369,18.464861248343436,18.396273353675795
16,179713,3.855767175548623,36.3977808806071,18.584916530051117,18.481770192844525
17,200435,3.399365785831285,33.16826654570839,17.550540540480146,17.19170346163767
18,217364,3.190707408259598,32.401871094208,16.534656947910896,15.849464952798117
19,188732,3.2395225839414867,34.14526827552331,15.772132731197656,15.227467343464108
20,166639,3.157149122765464,34.116126544880245,15.20934677699597,14.777779011315838
21,167130,3.018200657211248,31.753155643846494,15.039755743943935,14.442231596162681
22,151908,3.5850505506991204,34.66088251376108,15.724992083669868,14.923854131009216
23,118469,4.248976344688598,37.08333477660505,16.401910631875488,15.073816919756695
