do_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
236,139403,2.755377072229427,12.02205834881601,21.188174644734527
237,127660,1.8340845997180062,11.657151026163167,19.98104347485479
161,109256,2.854937486270773,14.08863632203271,23.17523211539852
230,87645,3.306190655485202,18.010350847167505,29.4710775286659
142,87615,2.557277178565307,12.91388365766897,22.108537579181597
239,87228,2.4743370248085546,13.105473013252631,23.198132824322283
170,84528,2.2291470282036823,13.102458159820811,22.83368670736313
162,83138,7.182101084943114,13.570739212714647,23.258027737015556
141,81701,2.1678415196876504,12.266688290229036,21.851826660628458
68,72369,2.5150481559783833,14.250209343779785,23.947095994141186
238,71926,2.6358218168673195,13.369202142943182,23.660775241220136
163,70999,2.4479936337131485,14.688564158180583,24.2354304990211
48,69750,3.235457204301066,15.48105591397848,25.271785949820693
234,66673,2.07210864967828,12.710301271379219,21.66728360805734
140,63661,2.3016950723362832,13.85549368268382,22.73238434834527
263,63492,2.5695010395010356,12.837464824964789,23.512483304983338
229,62505,2.232132949364044,12.588057755379582,22.415023758099537
186,62224,3.283416366675238,14.006389281734815,22.666435137567685
164,58050,2.7594434108527204,14.650962962962923,25.987234280792567
79,57017,2.6115395408387037,14.1089794856505,24.07465001666192
