do_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
236,163484,2.675064715813175,13.051633697079485,21.82763805632341
237,156649,2.655746733142256,13.750852223761441,21.398689809701658
161,135025,2.9585736715423065,21.06020440659135,28.057122680984705
230,109607,5.5859962411160184,27.0746235793942,34.779191110055734
162,103789,3.1051218337203297,17.99089691585814,26.38961527714863
239,101964,3.2851649601820245,14.531796352961152,24.088300576674012
142,101763,2.8695458074152644,15.346332819066527,23.650392185764822
170,98500,3.1877663959390867,17.037776311336724,25.715467918781545
141,92889,2.158099882655645,14.104906931929484,23.071410393049753
68,92095,5.492063304196754,17.100206489675465,25.52211607579121
163,89484,2.5384698940592756,20.016904139287526,27.86403211747328
48,87052,6.592575931627075,21.78820245370586,29.559589325919664
234,82722,5.801258794516586,14.982368857941838,23.25269347936466
186,80029,10.083591947918901,17.450579581568388,24.99753114495995
238,79949,4.601488699045643,14.17057540848956,24.18113547386456
164,79154,6.400905955479189,20.1344836226428,29.328425221719545
263,73940,2.5720948065999476,14.37304120458027,24.338280362456093
229,72686,3.4158829760889295,15.720595437911026,24.484865723798244
140,70296,3.8230670308410035,15.779075385986857,24.017737424604665
79,68261,6.434790729699274,15.817901388298816,24.95541509793298
