pickup_dow,total_viajes,duracion_promedio_min,duracion_std,tarifa_promedio,tarifa_std,duracion_p25,duracion_p50,duracion_p75,tarifa_p25,tarifa_p50,tarifa_p75
1,340817,16.531396859115947,33.085188387967186,30.02085048574305,25.729959894219615,7.466666666666667,12.266666666666667,19.95,15.3,20.47,31.8
2,445660,17.53812525243488,39.241207032377325,30.011249652199854,25.319925410287983,7.65,12.5,20.433333333333334,15.96,21.0,31.1
3,521216,17.5793383805051,32.537786744200005,28.533191632643618,21.95914506977003,8.083333333333334,13.233333333333333,21.266666666666666,16.32,21.4,30.62
4,533671,17.640410196544302,33.11606433321694,28.384088511459314,21.771778539467952,8.083333333333334,13.266666666666667,21.333333333333332,16.32,21.45,30.62
5,400222,18.48644643889297,36.6988368956378,29.588602050860576,23.510279409716716,8.283333333333333,13.7,22.216666666666665,16.38,21.84,31.92
6,366820,17.073722534212877,31.1737365937972,28.792552150917327,23.50803948550632,7.733333333333333,12.7,20.433333333333334,15.96,21.0,30.4
7,365401,16.546292976757098,36.85714429439733,27.857985774530814,23.396321524312185,7.6,12.483333333333333,20.05,15.3,20.3,29.76
