pickup_hour,total_viajes,mae,rmse,pred_promedio,real_promedio
0,105705,4.3956692586411705,40.232568548082206,15.393155576628502,15.707903757311987
1,65939,4.108368478607287,37.25838061053162,14.240547767354752,13.937662839897445
2,42381,3.8262580928079726,37.66866480788625,13.186462969729634,13.069997955058472
3,26971,3.8357484792655305,37.023748303892994,13.43255532111874,13.259351402123276
4,19686,4.343980982531143,31.47283100837124,15.567357164291002,15.033831995665299
5,24002,5.143642754002983,30.814844950429766,17.37194338533665,17.638005860622737
6,55234,6.7757492593187445,48.351531784000954,20.431416265197697,18.367065877297826
7,112321,4.651603188067075,26.151316056328923,18.353392199032506,17.188532717241934
8,147811,4.0985142203638825,22.8177996062684,18.51735134483888,17.18874993516493
9,157524,3.7664551045108774,33.1222049524262,18.34210902661318,17.492488657812945
10,163234,3.3819150192229626,26.84784585695865,18.50800924762795,17.950990704550907
11,172485,3.6008319555181054,31.465284402398918,19.24432609954178,19.15104221623131
12,186747,3.7205990684308676,31.500497840594743,20.05172655458056,19.840673924257704
13,193328,3.6362948889947035,38.06285508225106,20.38535309284194,20.335482444343256
14,208402,3.721310200778514,29.25946944685726,21.294008973446957,21.60751808204019
15,219809,4.024012665065482,31.813707843153548,21.609533655479577,22.382420874486556
16,221372,3.9981295678771183,34.18083124297277,21.421466720934678,22.165378864535622
17,247015,3.529370115090787,32.99364393050148,19.688437575508956,20.028992571301345
18,264335,3.227560449811175,31.450273366260998,18.197167756856388,18.2947280912479
19,235392,3.0237553997682562,30.561214491286602,16.768416405645382,17.08835616050387
20,219082,3.1825545255662213,30.67137573455,16.317970352921474,16.54551979015466
21,225988,3.1846989335747518,29.497759814432747,16.59936896988937,16.419892501666723
22,206531,44.482604670554075,110.9062886106493,58.456113593986274,16.636650510899916
23,160419,3.913004707247046,31.466548679731044,16.69728375081559,16.593702948736393
