do_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
236,170669,2.2095656504696173,13.487079180558014,22.25486948420592
237,165998,4.672243581247981,13.445465808825018,21.4404948252385
161,135671,3.745966492470768,18.012173812630024,26.50852857279707
230,114314,4.887462078135658,23.06363262592511,33.65969443812539
162,108031,4.10824902111431,16.011544988629744,25.456987068526487
170,107954,4.554374085258537,15.845583612773336,25.15800174148229
142,105544,3.7553165504434225,15.475208759695818,23.95391220723095
239,101116,3.195294809921258,14.925837322151455,24.836874184105117
68,95534,5.077764879519359,16.67751864955585,25.532839617308912
141,95033,2.2822000778676874,14.186969789441548,23.121233361042957
163,92612,4.463200449185845,18.655087533652907,27.447346024273124
234,88923,3.001905806146879,14.839238442247789,23.35495282435368
48,84993,4.492339604438009,19.157683770035938,28.323036955984353
238,81270,4.327117263442849,14.77424264796359,24.78191805094133
164,79273,3.14245846631261,18.47691942191327,29.277670329115566
186,76971,6.993243039586345,16.855858700029835,24.88934650712618
229,75090,3.809745505393525,14.845767967328035,24.023301638034447
140,74221,2.430015898465391,15.556398009548072,23.864614596947057
263,74157,2.699498226735173,14.478808249165082,24.59845341640044
79,73705,7.016314768333219,16.203743300997157,25.17334075028836
