payment_type,total_viajes,duracion_promedio_min,tarifa_promedio
1,2322210,16.082170353528237,28.0131816804054
2,396620,16.457431630612128,23.704349326810537
0,148848,16.5143056451324,25.216886421048628
4,23311,14.013312742196113,25.313143580284134
3,10441,13.496141812725474,22.825858634230475
