payment_type,total_viajes,duracion_promedio_min,tarifa_promedio
1,2548041,17.79985242911502,29.817902180570247
2,448627,18.082015943460274,24.943914365384646
0,387329,17.2019547981175,25.85072589452653
4,31114,16.41169569968506,27.76399627177494
3,12961,14.799290178226974,24.885191729033277
