distancia_bin,distancia_orden,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
0-1,1,727399,0.6785150103312768,6.923725493161205,14.714968098659655
1-3,2,1687866,1.767406198122384,13.796141409724598,20.912707418719567
3-5,3,416780,3.784245693171489,22.65157121263027,31.26815043908017
5-10,4,318460,7.19000373673308,29.249360777910287,47.81739122652844
10-20,5,244148,14.757698649999195,47.901215997400485,82.57541204516241
20+,6,33419,214.0971402495584,61.620306312776144,118.04314222447385
